rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
1,1,Pontificia Universidad Católica de Chile (UC),Chile,Santiago,Latin America,100,https://www.topuniversities.com/universities/pontificia-universidad-católica-de-chile-uc,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_medium.jpg,76.7,60,96.8,22,100,3,65.2,79,98.3,16,99.8,4,95.7,13,100,1
2,2,Universidade de São Paulo,Brazil,São Paulo,Latin America,99,https://www.topuniversities.com/universities/universidade-de-sao-paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_medium.jpg,76.8,59,100,1,100,4,50.4,118,99.6,5,100,1,100,1,99.9,8
3,3,Universidade Estadual de Campinas (Unicamp),Brazil,Campinas,Latin America,98.2,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-campinas-unicamp_96_medium.jpg,86.4,37,100,2,100,6,40.2,157,99.6,7,99.9,3,100,5,96.9,13
4,4,Tecnológico de Monterrey,Mexico,Monterrey,Latin America,95.4,https://www.topuniversities.com/universities/tecnologico-de-monterrey,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_medium.jpg,99.8,9,31.2,157,99.5,10,85.8,39,48.9,128,99.6,9,91.1,22,100,4
5,5,Universidade Federal do Rio de Janeiro,Brazil,Rio de Janeiro,Latin America,93.6,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,https://www.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-90x90.jpg,64.9,80,97.9,20,99.8,9,34.1,190,98.6,15,99.8,5,99.9,6,90.9,24
=6,6,UNESP,Brazil,Sao Paulo,Latin America,92.5,https://www.topuniversities.com/universities/unesp,https://www.topuniversities.com/sites/default/files/unesp_492_medium.jpg,56.2,113,100,4,96.9,14,40.2,156,99.7,=3,99.5,10,99.2,10,90.4,25
=6,7,Universidad de Chile,Chile,Santiago,Latin America,92.5,https://www.topuniversities.com/universities/universidad-de-chile,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_medium.jpg,75.7,62,99.4,11,100,5,22.3,201+,69.2,82,99.7,7,100,4,100,6
8,8,Universidad de los Andes,Colombia,Bogotá,Latin America,91.3,https://www.topuniversities.com/universities/universidad-de-los-andes,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_medium.jpg,66.4,77,92.2,28,99.9,8,33.2,198,66.3,92,96.9,22,94.1,17,100,5
9,9,Universidad Nacional Autónoma de México  (UNAM),Mexico,Mexico City,Latin America,90.2,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_medium.jpg,51.6,135,43.2,114,100,1,68,74,54.7,113,100,2,100,2,100,3
10,10,Universidad de Buenos Aires (UBA),Argentina,Buenos Aires,Latin America,87.5,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_medium.jpg,15.2,201+,25,183,100,2,93.8,26,49.3,127,99.7,8,99.7,7,100,2
11,11,Universidad de Concepción,Chile,Concepción,Latin America,87.1,https://www.topuniversities.com/universities/universidad-de-concepcion,https://www.topuniversities.com/sites/default/files/universidad-de-concepcin_1700_medium.jpg,89.8,30,88.9,34,89.2,23,37,171,60.4,101,98.7,13,82.5,32,88.7,29
12,12,Universidad Nacional de Colombia,Colombia,Bogotá,Latin America,86.7,https://www.topuniversities.com/universities/universidad-nacional-de-colombia,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_medium.jpg,30.6,201+,85.5,41,99.9,7,13.5,201+,82.5,67,98.4,16,92.3,21,100,7
13,13,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,Rio de Janeiro,Latin America,85.8,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-de-janeiro,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-de-janeiro_526_medium.jpg,62.3,89,98.8,17,93.1,18,40.4,153,86.3,60,94,39,83.5,31,75.8,48
14,14,Federal University of Minas Gerais (UFMG),Brazil,Belo Horizonte,Latin America,84.7,https://www.topuniversities.com/universities/federal-university-minas-gerais-ufmg,https://www.topuniversities.com/sites/default/files/universidade-federal-de-minas-gerais_1727_medium.jpg,56.8,112,98.7,19,94.1,17,31.8,201+,99.2,11,99.1,11,100,3,63,63
