rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
1,1,Pontificia Universidad Católica de Chile (UC),Chile,Santiago,Latin America,100,https://www.topuniversities.com/universities/pontificia-universidad-católica-de-chile-uc,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_medium.jpg,76.7,51,96.8,22,100,2,65.2,53,98.3,16,99.8,3,95.7,12,100,1
2,2,Universidade de São Paulo,Brazil,São Paulo,Latin America,99,https://www.topuniversities.com/universities/universidade-de-sao-paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_medium.jpg,76.8,50,100,1,100,3,50.4,82,99.6,5,100,1,100,1,99.9,6
3,3,Universidade Estadual de Campinas (Unicamp),Brazil,Campinas,Latin America,98.2,https://www.topuniversities.com/universities/universidade-estadual-de-campinas-unicamp,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-campinas-unicamp_96_medium.jpg,86.4,31,100,2,100,5,40.2,115,99.6,7,99.9,2,100,4,96.9,11
4,4,Universidade Federal do Rio de Janeiro,Brazil,Rio de Janeiro,Latin America,93.6,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,https://www.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-90x90.jpg,64.9,68,97.9,20,99.8,8,34.1,139,98.6,15,99.8,4,99.9,5,90.9,19
5,5,UNESP,Brazil,Sao Paulo,Latin America,92.5,https://www.topuniversities.com/universities/unesp,https://www.topuniversities.com/sites/default/files/unesp_492_medium.jpg,56.2,95,100,4,96.9,12,40.2,114,99.7,=3,99.5,8,99.2,9,90.4,20
5,6,Universidad de Chile,Chile,Santiago,Latin America,92.5,https://www.topuniversities.com/universities/universidad-de-chile,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_medium.jpg,75.7,53,99.4,11,100,4,22.3,=150,69.2,75,99.7,6,100,3,100,4
7,7,Universidad de los Andes,Colombia,Bogotá,Latin America,91.3,https://www.topuniversities.com/universities/universidad-de-los-andes,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_medium.jpg,66.4,65,92.2,28,99.9,7,33.2,147,66.3,83,96.9,20,94.1,15,100,3
8,8,Universidad de Buenos Aires (UBA),Argentina,Buenos Aires,Latin America,87.5,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_medium.jpg,15.2,=165,25,165,100,1,93.8,16,49.3,111,99.7,7,99.7,6,100,2
9,9,Universidad de Concepción,Chile,Concepción,Latin America,87.1,https://www.topuniversities.com/universities/universidad-de-concepcion,https://www.topuniversities.com/sites/default/files/universidad-de-concepcin_1700_medium.jpg,89.8,25,88.9,34,89.2,20,37,122,60.4,92,98.7,11,82.5,28,88.7,24
10,10,Universidad Nacional de Colombia,Colombia,Bogotá,Latin America,86.7,https://www.topuniversities.com/universities/universidad-nacional-de-colombia,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_medium.jpg,30.6,=165,85.5,41,99.9,6,13.5,=150,82.5,64,98.4,14,92.3,19,100,5
