rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank
1,1,Harvard University,United States,Cambridge,North America,96.6,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_medium.jpg,100,1,82.1,=66,83.5,=37,100,1
2,2,Stanford University,United States,Stanford,North America,93.6,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_medium.jpg,95.5,4,79.9,=99,85.4,=26,96.9,=2
3,3,Massachusetts Institute of Technology (MIT),United States,Cambridge,North America,93,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_medium.jpg,95.1,5,80.4,=89,79.8,77,96.9,=2
4,4,University of Oxford,United Kingdom,Oxford,Europe,90.5,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_medium.jpg,96.5,2,82.1,=66,75.9,101+,91.5,8
5,5,University of Chicago,United States,Chicago,North America,89.2,https://www.topuniversities.com/universities/university-chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_medium.jpg,77.8,29,82.6,=60,91.9,7,96.9,=2
6,6,University of Pennsylvania,United States,Philadelphia,North America,88.7,https://www.topuniversities.com/universities/university-pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_medium.jpg,82.7,16,83.8,=46,87,=19,93.7,6
7,7,University of Cambridge,United Kingdom,Cambridge,Europe,88.6,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_medium.jpg,96,3,74,101+,75.2,101+,89.7,11
8,8,The London School of Economics and Political Science (LSE),United Kingdom,London,Europe,88.1,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_medium.jpg,83.5,13,82.1,=66,75.4,101+,94.5,5
9,9,"University of California, Berkeley (UCB)",United States,Berkeley,North America,86.7,https://www.topuniversities.com/universities/university-california-berkeley-ucb,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_medium.jpg,86.1,8,78,101+,80.8,60,89.9,10
10,10,National University of Singapore (NUS),Singapore,Singapore,Asia,86.4,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_medium.jpg,87.1,7,83.4,=51,76,101+,88.6,13
11,11,New York University (NYU),United States,New York City,North America,86.3,https://www.topuniversities.com/universities/new-york-university-nyu,https://www.topuniversities.com/sites/default/files/240530125524pm936168NYUShanghai-90x90.jpg,81,20,83,=56,78.7,93,91.7,7
12,12,Columbia University,United States,New York City,North America,86.2,https://www.topuniversities.com/universities/columbia-university,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-90x90.jpg,84.1,12,82.1,=66,80.1,=69,89.5,12
13,13,Yale University,United States,New Haven,North America,85.8,https://www.topuniversities.com/universities/yale-university,https://www.topuniversities.com/sites/default/files/yale-university_684_medium.jpg,89.9,6,72.1,101+,81.7,=49,86.9,14
14,14,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Singapore,Asia,83,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu-singapore,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_medium.jpg,82.5,=17,79,101+,83.5,=37,84,20
=15,15,Imperial College London,United Kingdom,London,Europe,82.7,https://www.topuniversities.com/universities/imperial-college-london,https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-90x90.jpg,85.7,9,78.5,101+,82.1,=44,81.8,28
