rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank
1,1,Harvard University,United States,Cambridge,North America,99.1,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_medium.jpg,100,1,100,1,95.6,8,100,1
2,2,Massachusetts Institute of Technology (MIT),United States,Cambridge,North America,97.8,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_medium.jpg,95.6,5,96.3,5,99.8,2,98.7,2
3,3,Stanford University,United States,Stanford,North America,96.6,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_medium.jpg,95.8,4,97.3,3,97.4,=3,96.2,5
4,4,University of Chicago,United States,Chicago,North America,94,https://www.topuniversities.com/universities/university-chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_medium.jpg,79.4,28,99.2,2,100,1,95.8,6
5,5,Princeton University,United States,Princeton,North America,93.8,https://www.topuniversities.com/universities/princeton-university,https://www.topuniversities.com/sites/default/files/princeton-university_508_medium.jpg,82.3,19,94.2,7,96.8,7,97.8,3
6,6,The London School of Economics and Political Science (LSE),United Kingdom,London,Europe,93.1,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_medium.jpg,85.5,10,95.4,6,90.4,=30,97,4
7,7,"University of California, Berkeley (UCB)",United States,Berkeley,North America,93,https://www.topuniversities.com/universities/university-california-berkeley-ucb,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_medium.jpg,86.6,8,96.4,4,94,12,93.9,7
8,8,University of Oxford,United Kingdom,Oxford,Europe,92.3,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_medium.jpg,97,2,91.4,=9,86.3,=108,93.5,8
9,9,Yale University,United States,New Haven,North America,92.1,https://www.topuniversities.com/universities/yale-university,https://www.topuniversities.com/sites/default/files/yale-university_684_medium.jpg,90.2,6,91.2,11,95,10,92.1,9
10,10,University of Cambridge,United Kingdom,Cambridge,Europe,90.4,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_medium.jpg,96.4,3,86.9,=30,85.3,=146,91.7,10
11,11,Columbia University,United States,New York City,North America,89.5,https://www.topuniversities.com/universities/columbia-university,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-90x90.jpg,85.1,11,93.3,8,92,21,88.6,11
=12,12,New York University (NYU),United States,New York City,North America,86.9,https://www.topuniversities.com/universities/new-york-university-nyu,https://www.topuniversities.com/sites/default/files/240530125524pm936168NYUShanghai-90x90.jpg,81.8,=20,90.9,12,89,=44,86.3,=16
=12,13,University of Pennsylvania,United States,Philadelphia,North America,86.9,https://www.topuniversities.com/universities/university-pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_medium.jpg,83.1,15,89.1,=14,90.4,=30,85.9,18
=14,14,National University of Singapore (NUS),Singapore,Singapore,Asia,86.6,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_medium.jpg,87.6,7,85.3,=39,83.9,=199,88.1,12
=14,15,"University of California, Los Angeles (UCLA)",United States,Los Angeles,North America,86.6,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_medium.jpg,82.9,16,89.1,=14,91.3,=24,84.9,=19
16,16,Northwestern University,United States,Evanston,North America,86.2,https://www.topuniversities.com/universities/northwestern-university,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_medium.jpg,72.6,=74,91.4,=9,93.7,14,86.6,15
17,17,UCL,United Kingdom,London,Europe,85.9,https://www.topuniversities.com/universities/ucl,https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-90x90.jpg,80.8,23,88.7,=16,86.4,=102,86.8,14
18,18,Bocconi University,Italy,Milan,Europe,85.8,https://www.topuniversities.com/universities/bocconi-university,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_medium.jpg,78.8,31,88.7,=16,88.7,=46,86.3,=16
