rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
1,1,Harvard University,United States,Cambridge,North America,97.4,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_medium.jpg,100,1,96.5,=3,89.7,=62,98.2,2,87.2,6
2,2,University of Oxford,United Kingdom,Oxford,Europe,94.7,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_medium.jpg,96.6,2,94,8,85.1,=295,94.5,3,100,1
3,3,Stanford University,United States,Stanford,North America,93.3,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_medium.jpg,95.3,4,96.5,=3,93.8,=11,94.2,4,66.1,=133
4,4,University of Cambridge,United Kingdom,Cambridge,Europe,92.7,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_medium.jpg,95.9,3,91.4,=18,84.7,=330,93.4,=6,80.6,11
5,5,The London School of Economics and Political Science (LSE),United Kingdom,London,Europe,91.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_medium.jpg,85.9,=11,85.3,=98,87.9,=118,100,1,60.2,=256
6,6,Massachusetts Institute of Technology (MIT),United States,Cambridge,North America,91.5,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_medium.jpg,94.2,5,92.8,11,95.4,=5,92.3,8,59.8,=269
7,7,Yale University,United States,New Haven,North America,88.6,https://www.topuniversities.com/universities/yale-university,https://www.topuniversities.com/sites/default/files/yale-university_684_medium.jpg,90.4,7,88.8,=35,88.2,=107,89.6,14,67.3,=110
8,8,National University of Singapore (NUS),Singapore,Singapore,Asia,88.5,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_medium.jpg,93.3,6,92.2,14,86.9,=167,88,17,62.1,206
9,9,"University of California, Berkeley (UCB)",United States,Berkeley,North America,88.1,https://www.topuniversities.com/universities/university-california-berkeley-ucb,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_medium.jpg,84.9,14,91.6,17,88.9,=81,91.2,10,70.7,=64
10,10,Columbia University,United States,New York City,North America,88,https://www.topuniversities.com/universities/columbia-university,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-90x90.jpg,84.6,15,89.7,=26,85.7,=246,91,11,79.2,15
11,11,University of Pennsylvania,United States,Philadelphia,North America,86.9,https://www.topuniversities.com/universities/university-pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_medium.jpg,82.6,20,86.1,=85,86.8,=172,92.2,9,61.7,=211
=12,12,Bocconi University,Italy,Milan,Europe,85.4,https://www.topuniversities.com/universities/bocconi-university,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_medium.jpg,81.1,28,76.7,=332,89.4,=67,93.4,=6,38.1,401+
=12,13,University of Chicago,United States,Chicago,North America,85.4,https://www.topuniversities.com/universities/university-chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_medium.jpg,74.6,64,86.8,=63,90.4,=47,93.7,5,57.3,337
