rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
1,1,Massachusetts Institute of Technology (MIT),United States,Cambridge,North America,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_medium.jpg,100,7,100,4,100,16,100,2,100,7,91.6,153,94.1,98,100,63,92.3,130,93.8,33
2,2,Imperial College London,United Kingdom,London,Europe,99.4,https://www.topuniversities.com/universities/imperial-college-london,https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-90x90.jpg,95,69,99.6,22,99.3,42,100,9,95.9,68,100,35,97.5,28,100,74,100,22,98.3,=7
3,3,Stanford University,United States,Stanford,North America,98.9,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_medium.jpg,99.7,24,100,5,100,17,100,3,100,2,73.5,261,96.5,49,94.2,188,76.1,230,95.4,=19
4,4,University of Oxford,United Kingdom,Oxford,Europe,97.9,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_medium.jpg,91,98,100,2,100,9,100,4,100,3,98.6,80,100,1,98.8,132,98.7,67,77.9,=198
5,5,Harvard University,United States,Cambridge,North America,97.7,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_medium.jpg,100,1,100,1,98.3,50,100,1,100,1,81.4,217,99.4,8,79.1,300,60.6,335,77.8,=201
6,6,University of Cambridge,United Kingdom,Cambridge,Europe,97.2,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_medium.jpg,88.6,107,100,3,100,23,100,5,100,5,93.1,144,99.2,12,100,80,93.6,120,78.4,194
7,7,ETH Zurich,Switzerland,Zürich,Europe,96.7,https://www.topuniversities.com/universities/eth-zurich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_medium.jpg,98.8,40,99.7,18,71.7,214,96.3,42,95,76,99.3,58,95.8,64,100,28,73.9,241,99.6,2
8,8,National University of Singapore (NUS),Singapore,Singapore,Asia,95.9,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_medium.jpg,95.9,64,99.9,14,71.5,216,98.2,32,100,9,96.9,101,92.4,140,100,37,72.1,253,90,=63
9,9,UCL,United Kingdom,London,Europe,95.8,https://www.topuniversities.com/universities/ucl,https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-90x90.jpg,80.9,151,99.9,15,94.8,77,99.4,18,89.3,111,100,27,99.9,2,99.6,108,100,17,98.5,=5
10,10,California Institute of Technology (Caltech),United States,Pasadena,North America,94.3,https://www.topuniversities.com/universities/california-institute-technology-caltech,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_medium.jpg,100,3,98.3,33,100,5,99.2,23,49.1,352,90.7,161,61.8,665,100,65,91.4,136,79.2,185
