rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url
1,1,University of São Paulo,Brazil,62.8,65.5,56.1,69.9,96.6,43.4,https://www.timeshighereducation.com/world-university-rankings/university-sao-paulo
2,2,University of Campinas,Brazil,58.1,58.7,52.3,69.1,78.1,41.5,https://www.timeshighereducation.com/world-university-rankings/university-campinas
3,3,Pontificia Universidad Católica de Chile,Chile,50.0,38.0,43.6,72.6,80.2,58.1,https://www.timeshighereducation.com/world-university-rankings/pontificia-universidad-catolica-de-chile
=4,4,Federal University of Rio de Janeiro,Brazil,47.9,50.2,38.4,56.8,84.9,37.2,https://www.timeshighereducation.com/world-university-rankings/federal-university-rio-de-janeiro
=4,4,Universidade Estadual Paulista (Unesp),Brazil,47.9,52.1,38.1,57.5,62.7,39.0,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-paulista-unesp
6,6,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,44.2,42.0,39.1,50.7,72.8,45.4,https://www.timeshighereducation.com/world-university-rankings/pontifical-catholic-university-rio-de-janeiro-puc-rio
7,7,Tecnológico de Monterrey,Mexico,42.6,29.7,31.3,70.1,68.4,65.8,https://www.timeshighereducation.com/world-university-rankings/tecnologico-de-monterrey
8,8,Universidade Federal do Rio Grande do Sul,Brazil,40.9,42.1,27.4,60.1,56.7,35.6,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-do-rio-grande-do-sul
9,9,National Autonomous University of Mexico,Mexico,40.8,37.1,32.5,48.9,66.7,60.1,https://www.timeshighereducation.com/world-university-rankings/national-autonomous-university-mexico
10,10,Federal University of Minas Gerais,Brazil,39.8,45.6,26.5,50.2,53.0,36.9,https://www.timeshighereducation.com/world-university-rankings/federal-university-minas-gerais
=11,11,Universidade Federal de Santa Catarina,Brazil,39.3,40.9,26.1,54.5,65.5,37.0,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-de-santa-catarina
=11,11,Universidade Federal de São Paulo (UNIFESP),Brazil,39.3,40.7,28.6,51.6,59.2,36.3,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-de-sao-paulo-unifesp
13,13,University of Chile,Chile,38.4,33.6,25.0,61.6,56.5,49.3,https://www.timeshighereducation.com/world-university-rankings/university-chile
14,14,"University of the Andes, Colombia",Colombia,38.0,30.8,27.0,60.7,43.2,57.8,https://www.timeshighereducation.com/world-university-rankings/university-andes-colombia
15,15,Federal University of São Carlos,Brazil,36.9,38.1,26.5,50.0,55.4,33.1,https://www.timeshighereducation.com/world-university-rankings/federal-university-sao-carlos
