rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
1,1,Massachusetts Institute of Technology,United States,93.3,94.3,95.0,90.4,99.7,89.2,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology,77 Massachusetts Avenue,Cambridge,Massachusetts,02139-4307,United States
2,2,Stanford University,United States,91.6,96.7,91.1,90.2,84.2,83.5,https://www.timeshighereducation.com/world-university-rankings/stanford-university,450 Jane Stanford Way,Stanford,California,94305–2004,United States
3,3,Tsinghua University,China,91.2,93.6,97.5,80.6,100.0,85.8,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university,1 Qinqhuayuan,Beijing,Hebei Province,100084,China
4,4,University of Oxford,United Kingdom,91.0,93.8,98.2,76.8,95.5,94.0,https://www.timeshighereducation.com/world-university-rankings/university-oxford,Wellington Square University Offices,Oxford,Oxfordshire,OX1 2JD,United Kingdom
5,5,"University of California, Berkeley",United States,90.6,92.0,91.5,91.5,85.7,82.1,https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley,110 Sproul Hall,Berkeley,California,94704,United States
6,6,University of Cambridge,United Kingdom,90.5,93.4,93.7,83.0,79.7,95.4,https://www.timeshighereducation.com/world-university-rankings/university-cambridge,"['The Old Schools', 'Trinity Lane']",Cambridge,Cambridgeshire,CB2 1TN,United Kingdom
7,7,Peking University,China,90.4,97.6,94.5,75.2,99.9,89.4,https://www.timeshighereducation.com/world-university-rankings/peking-university,No.5 Yiheyuan Road,Haidian District,Beijing,100871,China
8,8,Harvard University,United States,90.3,95.7,91.1,89.7,67.3,81.2,https://www.timeshighereducation.com/world-university-rankings/harvard-university,Massachusetts Hall,Cambridge,Massachusetts,02138,United States
9,9,The University of Chicago,United States,89.2,90.8,92.2,90.3,67.6,79.8,https://www.timeshighereducation.com/world-university-rankings/university-chicago,5801 South Ellis Avenue Edward H Levi Hall,Chicago,Illinois,60637,United States
=10,10,National University of Singapore,Singapore,87.4,80.3,96.5,82.2,95.7,90.7,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore,21 Lower Kent Ridge Road,Singapore,Singapore,119077,Singapore
=10,10,University of Pennsylvania,United States,87.4,93.8,88.6,83.8,74.7,77.4,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania,3451 Walnut Street,Philadelphia,Pennsylvania,19104,United States
12,12,Yale University,United States,87.2,95.6,88.5,79.0,68.6,85.6,https://www.timeshighereducation.com/world-university-rankings/yale-university,New Haven,New Haven,Connecticut,06520,United States
13,13,London School of Economics and Political Science,United Kingdom,86.7,85.4,94.3,79.0,63.4,95.7,https://www.timeshighereducation.com/world-university-rankings/london-school-economics-and-political-science,Houghton Street,London,Westminster,WC2A 2AE,United Kingdom
14,14,Columbia University,United States,86.4,92.0,87.2,80.1,77.2,86.1,https://www.timeshighereducation.com/world-university-rankings/columbia-university,116th and Broadway,New York,New York,10027,United States
