rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
1,1,University of Oxford,United Kingdom,98.2,97.2,100.0,97.7,99.9,96.4,https://www.timeshighereducation.com/world-university-rankings/university-oxford,Wellington Square University Offices,Oxford,Oxfordshire,OX1 2JD,United Kingdom
2,2,Massachusetts Institute of Technology,United States,97.7,99.2,95.3,99.6,100.0,91.9,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology,77 Massachusetts Avenue,Cambridge,Massachusetts,02139-4307,United States
=3,3,Princeton University,United States,97.2,98.2,97.3,99.0,98.0,85.4,https://www.timeshighereducation.com/world-university-rankings/princeton-university,Princeton,Princeton,New Jersey,08544,United States
=3,3,University of Cambridge,United Kingdom,97.2,96.2,99.9,97.1,87.6,96.3,https://www.timeshighereducation.com/world-university-rankings/university-cambridge,"['The Old Schools', 'Trinity Lane']",Cambridge,Cambridgeshire,CB2 1TN,United Kingdom
=5,5,Harvard University,United States,97.1,95.9,100.0,98.9,86.7,88.3,https://www.timeshighereducation.com/world-university-rankings/harvard-university,Massachusetts Hall,Cambridge,Massachusetts,02138,United States
=5,5,Stanford University,United States,97.1,97.5,97.4,99.5,100.0,83.9,https://www.timeshighereducation.com/world-university-rankings/stanford-university,450 Jane Stanford Way,Stanford,California,94305–2004,United States
7,7,California Institute of Technology,United States,96.3,96.4,97.4,96.8,100.0,87.9,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology,1200 East California Boulevard,Pasadena,California,91125,United States
8,8,Imperial College London,United Kingdom,94.7,90.6,94.9,98.0,91.9,98.2,https://www.timeshighereducation.com/world-university-rankings/imperial-college-london,South Kensington Road,London,Kensington and Chelsea,SW7 2AZ,United Kingdom
9,9,"University of California, Berkeley",United States,94.4,87.3,99.0,98.9,99.5,83.9,https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley,110 Sproul Hall,Berkeley,California,94704,United States
10,10,Yale University,United States,94.1,94.6,94.5,97.2,87.6,81.4,https://www.timeshighereducation.com/world-university-rankings/yale-university,New Haven,New Haven,Connecticut,06520,United States
11,11,ETH Zurich,Switzerland,93.1,88.5,97.2,94.5,83.7,95.1,https://www.timeshighereducation.com/world-university-rankings/eth-zurich,Ramistrasse 101,Zurich,Canton of Zurich,8092,Switzerland
12,12,Tsinghua University,China,93.0,95.9,98.5,93.9,100.0,53.4,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university,1 Qinqhuayuan,Beijing,Hebei Province,100084,China
13,13,Peking University,China,92.3,95.4,97.9,89.0,100.0,67.3,https://www.timeshighereducation.com/world-university-rankings/peking-university,No.5 Yiheyuan Road,Haidian District,Beijing,100871,China
14,14,University of Pennsylvania,United States,90.8,88.1,90.3,96.1,97.9,78.4,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania,3451 Walnut Street,Philadelphia,Pennsylvania,19104,United States
15,15,The University of Chicago,United States,90.6,89.6,90.1,96.8,76.4,79.7,https://www.timeshighereducation.com/world-university-rankings/university-chicago,5801 South Ellis Avenue Edward H Levi Hall,Chicago,Illinois,60637,United States
16,16,Johns Hopkins University,United States,90.1,84.6,89.9,96.3,100.0,81.9,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university,3400 North Charles Street,Baltimore,Maryland,21218,United States
17,17,National University of Singapore,Singapore,89.7,78.6,93.1,95.1,99.9,92.8,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore,21 Lower Kent Ridge Road,Singapore,Singapore,119077,Singapore
=18,18,Cornell University,United States,89.5,85.9,90.6,95.9,70.3,83.5,https://www.timeshighereducation.com/world-university-rankings/cornell-university,Day Hall Lobby,Ithaca,New York,14853,United States
